2020/10/29,13:50:04,Nmcu-N_b1-Tem-Press-Lig,,26.06,,1023.36,67.5,,,
2020/10/29,13:50:05,Nmcu-N_b1-Tem-Press-Lig,,26.07,,1023.41,115,,,
2020/10/29,14:00:06,Nmcu-N_b1-Tem-Press-Lig,,26.03,,1023.3,59.17,,,
2020/10/29,14:00:08,Nmcu-N_b1-Tem-Press-Lig,,26.04,,1023.29,55.83,,,
2020/10/29,14:10:08,Nmcu-N_b1-Tem-Press-Lig,,24.43,,1023.17,188.33,,,
2020/10/29,14:20:05,Nmcu-N_b1-Tem-Press-Lig,,24.55,,1023.2,72.5,,,
2020/10/29,14:30:06,Nmcu-N_b1-Tem-Press-Lig,,24.62,,1023.27,74.17,,,
2020/10/29,14:30:07,Nmcu-N_b1-Tem-Press-Lig,,24.62,,1023.26,79.17,,,
2020/10/29,14:40:05,Nmcu-N_b1-Tem-Press-Lig,,24.51,,1023.3,79.17,,,
2020/10/29,14:40:06,Nmcu-N_b1-Tem-Press-Lig,,24.52,,1023.29,95.83,,,
2020/10/29,14:50:05,Nmcu-N_b1-Tem-Press-Lig,,24.79,,1023.36,95.83,,,
2020/10/29,15:00:04,Nmcu-N_b1-Tem-Press-Lig,,24.65,,1023.37,89.17,,,
2020/10/29,15:00:06,Nmcu-N_b1-Tem-Press-Lig,,24.65,,1023.33,77.5,,,
2020/10/29,15:10:04,Nmcu-N_b1-Tem-Press-Lig,,24.84,,1023.25,77.5,,,
2020/10/29,15:10:06,Nmcu-N_b1-Tem-Press-Lig,,24.85,,1023.25,75,,,
2020/10/29,15:20:05,Nmcu-N_b1-Tem-Press-Lig,,24.59,,1023.29,75.83,,,
2020/10/29,15:30:04,Nmcu-N_b1-Tem-Press-Lig,,24.75,,1023.31,68.33,,,
2020/10/29,15:30:06,Nmcu-N_b1-Tem-Press-Lig,,24.75,,1023.26,56.67,,,
2020/10/29,15:40:04,Nmcu-N_b1-Tem-Press-Lig,,25.14,,1023.47,55.83,,,
2020/10/29,15:40:06,Nmcu-N_b1-Tem-Press-Lig,,25.14,,1023.46,22.5,,,
2020/10/29,16:00:08,Nmcu-N_b1-Tem-Press-Lig,,25.04,,1023.62,135.83,,,
2020/10/29,16:10:05,Nmcu-N_b1-Tem-Press-Lig,,24.78,,1023.65,100.83,,,
2020/10/29,16:10:07,Nmcu-N_b1-Tem-Press-Lig,,24.78,,1023.65,103.33,,,
2020/10/29,16:20:05,Nmcu-N_b1-Tem-Press-Lig,,24.65,,1023.56,103.33,,,
2020/10/29,16:20:07,Nmcu-N_b1-Tem-Press-Lig,,24.65,,1023.62,89.17,,,
2020/10/29,16:30:06,Nmcu-N_b1-Tem-Press-Lig,,24.41,,1023.68,89.17,,,
2020/10/29,16:40:05,Nmcu-N_b1-Tem-Press-Lig,,24.45,,1023.72,74.17,,,
2020/10/29,16:50:06,Nmcu-N_b1-Tem-Press-Lig,,24.93,,1023.78,50.83,,,
2020/10/29,16:50:09,Nmcu-N_b1-Tem-Press-Lig,,24.92,,1023.79,37.5,,,
2020/10/29,17:00:04,Nmcu-N_b1-Tem-Press-Lig,,24.76,,1023.8,37.5,,,
2020/10/29,17:00:06,Nmcu-N_b1-Tem-Press-Lig,,24.76,,1023.82,21.67,,,
2020/10/29,17:10:04,Nmcu-N_b1-Tem-Press-Lig,,24.7,,1023.88,21.67,,,
2020/10/29,17:10:06,Nmcu-N_b1-Tem-Press-Lig,,24.69,,1023.91,40,,,
2020/10/29,17:20:05,Nmcu-N_b1-Tem-Press-Lig,,24.68,,1024.01,40,,,
2020/10/29,17:30:05,Nmcu-N_b1-Tem-Press-Lig,,24.64,,1024.05,38.33,,,
2020/10/29,17:30:07,Nmcu-N_b1-Tem-Press-Lig,,24.65,,1024.05,36.67,,,
2020/10/29,17:40:05,Nmcu-N_b1-Tem-Press-Lig,,24.6,,1024.29,37.5,,,
2020/10/29,17:40:06,Nmcu-N_b1-Tem-Press-Lig,,24.6,,1024.31,37.5,,,
2020/10/29,17:50:06,Nmcu-N_b1-Tem-Press-Lig,,24.48,,1024.27,37.5,,,
2020/10/29,18:00:05,Nmcu-N_b1-Tem-Press-Lig,,24.34,,1024.33,37.5,,,
2020/10/29,18:00:08,Nmcu-N_b1-Tem-Press-Lig,,24.35,,1024.34,37.5,,,
2020/10/29,18:10:05,Nmcu-N_b1-Tem-Press-Lig,,24.35,,1024.31,37.5,,,
2020/10/29,18:10:06,Nmcu-N_b1-Tem-Press-Lig,,24.35,,1024.3,36.67,,,
2020/10/29,18:20:06,Nmcu-N_b1-Tem-Press-Lig,,24.41,,1024.39,37.5,,,
2020/10/29,18:30:05,Nmcu-N_b1-Tem-Press-Lig,,24.45,,1024.37,37.5,,,
